Country	Record	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	
Afghanistan	PBA_GgCO2	1.754000e+03	1.779000e+03	1.724000e+03	1.766000e+03	2.105000e+03	1.851000e+03	1.775000e+03	1.889000e+03	3.602000e+03	2.896000e+03	2.379000e+03	2.573000e+03	2.491000e+03	2.704000e+03	2.636000e+03	2.562000e+03	2.378000e+03	2.374000e+03	2.192000e+03	2.050000e+03	2.044000e+03	1.990000e+03	1.715000e+03	1.716000e+03	1.964000e+03	2.279000e+03	2.288000e+03	2.160000e+03	2.115000e+03	2.167000e+03	2.421000e+03	2.369000e+03	2.398000e+03	2.594000e+03	2.868000e+03	3.042000e+03	3.245000e+03	2.902000e+03	3.958000e+03	5.055000e+03	6.316000e+03	6.952000e+03	7.482000e+03	8.021000e+03	8.542000e+03	8.663000e+03	
Afghanistan	CBA_GgCO2	1.958394e+03	1.922600e+03	1.826828e+03	1.860701e+03	2.173149e+03	1.906162e+03	1.849803e+03	1.964961e+03	3.718317e+03	2.988746e+03	2.483676e+03	2.671031e+03	2.591940e+03	2.807138e+03	2.756691e+03	2.706262e+03	2.532548e+03	2.520329e+03	2.346013e+03	2.269653e+03	2.299314e+03	2.502744e+03	2.706173e+03	2.642615e+03	2.749608e+03	3.276401e+03	3.313986e+03	2.906318e+03	3.008128e+03	3.095753e+03	3.513787e+03	3.581073e+03	3.650694e+03	4.411493e+03	4.803434e+03	5.132593e+03	5.572050e+03	5.468204e+03	5.830653e+03	6.828666e+03	8.727125e+03	1.017078e+04	1.065461e+04	1.110993e+04	1.174332e+04	1.190083e+04	
Afghanistan	PBA_MtCO2perCap	1.577183e-01	1.558773e-01	1.471379e-01	1.468911e-01	1.709221e-01	1.471038e-01	1.383329e-01	1.446789e-01	2.724135e-01	2.180185e-01	1.800716e-01	1.979699e-01	1.966527e-01	2.202117e-01	2.212800e-01	2.202829e-01	2.078862e-01	2.093856e-01	1.926903e-01	1.765970e-01	1.693796e-01	1.555979e-01	1.247669e-01	1.157553e-01	1.237558e-01	1.358770e-01	1.308790e-01	1.197729e-01	1.142534e-01	1.138225e-01	1.228813e-01	1.153856e-01	1.116020e-01	1.152511e-01	1.220433e-01	1.246724e-01	1.288536e-01	1.121436e-01	1.491967e-01	1.857958e-01	2.258763e-01	2.413121e-01	2.516921e-01	2.614194e-01	2.700814e-01	2.663362e-01	
Afghanistan	CBA_MtCO2perCap	1.760972e-01	1.684597e-01	1.559140e-01	1.547681e-01	1.764556e-01	1.514877e-01	1.441626e-01	1.504968e-01	2.812103e-01	2.250006e-01	1.879947e-01	2.055126e-01	2.046214e-01	2.286112e-01	2.314115e-01	2.326867e-01	2.213969e-01	2.222917e-01	2.062290e-01	1.955190e-01	1.905366e-01	1.956893e-01	1.968752e-01	1.782615e-01	1.732586e-01	1.953434e-01	1.895678e-01	1.611565e-01	1.625007e-01	1.626056e-01	1.783472e-01	1.744214e-01	1.699018e-01	1.960022e-01	2.044028e-01	2.103526e-01	2.212569e-01	2.113108e-01	2.197863e-01	2.509866e-01	3.121043e-01	3.530398e-01	3.584175e-01	3.620934e-01	3.713007e-01	3.658804e-01	
Afghanistan	Population	11121097	11412821	11716896	12022514	12315553	12582954	12831361	13056499	13222547	13283279	13211412	12996923	12667001	12279095	11912510	11630498	11438949	11337932	11375768	11608351	12067570	12789374	13745630	14824371	15869967	16772522	17481800	18034130	18511480	19038420	19701940	20531160	21487079	22507368	23499850	24399948	25183615	25877544	26528741	27207291	27962207	28809167	29726803	30682500	31627506	32526562	
Afghanistan	PBA_GgCO2PerBnUSDGDP	1.002924e+03	9.715424e+02	1.080501e+03	1.018846e+03	9.765464e+02	7.821127e+02	6.945652e+02	6.396162e+02	1.091515e+03	7.831386e+02	6.532621e+02	7.396254e+02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.623564e+02	5.807954e+02	5.659252e+02	5.426201e+02	4.847752e+02	4.597881e+02	2.948036e+02	3.883998e+02	4.048228e+02	3.963154e+02	3.877249e+02	3.643262e+02	4.001230e+02	4.260309e+02	4.481336e+02	
Afghanistan	CBA_GgCO2PerBnUSDGDP	1.119795e+03	1.049965e+03	1.144948e+03	1.073482e+03	1.008162e+03	8.054206e+02	7.238359e+02	6.653367e+02	1.126763e+03	8.082192e+02	6.820057e+02	7.678052e+02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.454736e+03	8.841977e+02	9.624422e+02	9.088006e+02	8.179335e+02	7.895107e+02	5.554949e+02	5.721638e+02	5.468645e+02	5.476083e+02	5.672418e+02	5.188121e+02	5.542125e+02	5.856960e+02	6.156254e+02	
Afghanistan	GDP_MilUSD	1.748887e+00	1.831109e+00	1.595555e+00	1.733333e+00	2.155555e+00	2.366667e+00	2.555556e+00	2.953333e+00	3.300000e+00	3.697940e+00	3.641723e+00	3.478788e+00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.461666e+00	4.128821e+00	4.583644e+00	5.285466e+00	6.275074e+00	7.057598e+00	9.843842e+00	1.019053e+01	1.248694e+01	1.593680e+01	1.793024e+01	2.053654e+01	2.004633e+01	2.005019e+01	1.933129e+01	
Albania	PBA_GgCO2	4.427000e+03	4.417000e+03	5.034000e+03	4.637000e+03	4.858000e+03	5023	5.405000e+03	5.716000e+03	6.432000e+03	7.555000e+03	7.648000e+03	6.665000e+03	6.879000e+03	7.383000e+03	7.994000e+03	7.620000e+03	7.695000e+03	7.961000e+03	7.906000e+03	7.762000e+03	6.556000e+03	4.350000e+03	2.325000e+03	2.180000e+03	2.308000e+03	2.044000e+03	2.034000e+03	1.564000e+03	1.796000e+03	3.031000e+03	3.134000e+03	3.351000e+03	3.899000e+03	4.195000e+03	4.378000e+03	4.137000e+03	4.098000e+03	4.209000e+03	4.167000e+03	3.751000e+03	4.075000e+03	4.328000e+03	4.209000e+03	4.401000e+03	4.354000e+03	4.439000e+03	
Albania	CBA_GgCO2	4.641180e+03	4.551919e+03	5.106676e+03	4.685890e+03	4.897794e+03	5.058698e+03	5.455049e+03	5.733442e+03	6.494603e+03	7.390017e+03	7.367457e+03	6.419565e+03	6.728166e+03	7.279075e+03	7.914863e+03	7.627006e+03	7.657412e+03	7.898750e+03	7.896530e+03	7.757861e+03	6.477959e+03	4.894741e+03	3.311523e+03	3.312043e+03	3.239390e+03	2.980666e+03	3.160858e+03	2.476855e+03	2.757936e+03	3.932809e+03	4.178994e+03	4.508435e+03	5.129750e+03	5.650744e+03	6.047186e+03	5.971925e+03	6.210390e+03	6.575524e+03	6.639415e+03	6.004263e+03	6.260434e+03	6.707926e+03	6.551090e+03	6.693666e+03	6.652984e+03	6.671763e+03	
